what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1511160073329
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1511160073329
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1511160073330
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1511160073330
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1511160073331
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1511160073331
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1511160073332
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1511160073333
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1511160073333
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1511160073334
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1511160073334
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1511160073336
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1511160073336
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1511160073336
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1511160073336
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1511160073337
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1511160073338
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1511160073338
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1511160073339
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1511160073340
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1511160073341
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1511160073342
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1511160073342
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1511160073344
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1511160073344
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1511160073345
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1511160073345
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1511160073346
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1511160073346
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1511160073347
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1511160073347
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1511160073347
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1511160073348
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1511160073348
os,sysinfo,,,"win32",1511160073350
arch,sysinfo,,,"x86",1511160073350
ws,sysinfo,,,"win32",1511160073350
locale,sysinfo,,,"zh_TW",1511160073350
processors,sysinfo,,,"4",1511160073350
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1511160073350
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1511160073350
java.specification.name,sysinfo,,,"Java Platform API Specification",1511160073350
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1511160073350
java.specification.version,sysinfo,,,"1.6",1511160073350
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1511160073350
java.version,sysinfo,,,"1.6.0_23",1511160073350
java.vm.info,sysinfo,,,"mixed mode",1511160073350
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1511160073350
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1511160073350
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1511160073350
java.vm.specification.version,sysinfo,,,"1.0",1511160073350
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1511160073350
java.vm.version,sysinfo,,,"19.0-b09",1511160073350
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1511160073377
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160074123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160078693
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160082152
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1511160082162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160082277
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1511160082292
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1511160082292
started,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1511160085874
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1511160085986
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1511160086174
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1511160086212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160086542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160108840
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1511160116769
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1511160118311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160119256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160128166
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160133730
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160133773
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1511160136082
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160136125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1511160137194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1511160138722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1511160139949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1511160147422
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160153431
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1511160153555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160154807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160182768
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1511160192408
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1511160192415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160193616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160196661
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1511160204259
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1511160211033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160211175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160211298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160215831
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160227580
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1511160227608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160231023
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160238336
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160238403
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160239313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160241259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160244264
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160252357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160252466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160254025
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160254129
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1511160254157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160266136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160267935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160268901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160270056
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160270107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160271278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160492638
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160497513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160498257
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160501376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160501499
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1511160501516
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1511160501517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160502609
error,log,,,"Internal Error",1511160504154
error,log,,,"Problems encountered while deleting resources.",1511160504165
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160505698
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1511160505714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1511160505715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160507815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160522514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160524123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160525515
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1511160525530
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1511160525530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160528808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160556869
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160578543
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160578577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160579596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160583717
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1511160585204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1511160585930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1511160587100
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160593724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160595087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160618580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160618694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160622657
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1511160623988
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160625532
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1511160654087
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160661140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160662579
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160667615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160673015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160675842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160683774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160683847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160686265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160712927
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1511160712947
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160713576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160715353
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1511160725296
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1511160726917
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1511160727940
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1511160729770
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1511160729805
